"id_poliza","segmento","prob_segmento","mult_freq","n_siniestros_DM","siniestro_DM","n_siniestros_Robo","siniestro_Robo","n_siniestros_RC","siniestro_RC","siniestro_total","prima_DM_comercial","prima_Robo_comercial","prima_RC_comercial","prima_total","LR"
76,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
77,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
78,"Bajo riesgo",0.3,0.7,0,0,1,24541.3762002169,0,0,24541.3762002169,955.5,546,1310.4,2811.9,8.72768455500441
79,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
80,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
81,"Alto riesgo",0.2,1.5,0,0,1,9006.37606966836,0,0,9006.37606966836,2047.5,1170,2808,6025.5,1.49471016009764
82,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
83,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
84,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
85,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
86,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
87,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
88,"Estándar",0.5,1,0,0,0,0,1,12628.6462897016,12628.6462897016,1365,780,1872,4017,3.14380042063768
89,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
90,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
91,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
92,"Alto riesgo",0.2,1.5,0,0,0,0,1,62672.9825920723,62672.9825920723,2047.5,1170,2808,6025.5,10.401291609339
93,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
94,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
95,"Bajo riesgo",0.3,0.7,0,0,0,0,1,12718.224788756,12718.224788756,955.5,546,1310.4,2811.9,4.52300038719583
96,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
97,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
98,"Bajo riesgo",0.3,0.7,0,0,1,21539.6149136496,0,0,21539.6149136496,955.5,546,1310.4,2811.9,7.66016391537736
99,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
100,"Estándar",0.5,1,1,16207.6619650112,0,0,0,0,16207.6619650112,1365,780,1872,4017,4.03476772840708
101,"Bajo riesgo",0.3,0.7,0,0,0,0,1,11267.2791839067,11267.2791839067,955.5,546,1310.4,2811.9,4.00699853618787
102,"Alto riesgo",0.2,1.5,0,0,1,12713.7194074744,0,0,12713.7194074744,2047.5,1170,2808,6025.5,2.10998579495052
103,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
104,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
105,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
106,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
107,"Alto riesgo",0.2,1.5,0,0,1,31000.6220053573,0,0,31000.6220053573,2047.5,1170,2808,6025.5,5.1449044901431
108,"Estándar",0.5,1,0,0,1,24288.5235165443,0,0,24288.5235165443,1365,780,1872,4017,6.04643353660551
109,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
110,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
111,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
112,"Estándar",0.5,1,1,12393.5778254925,0,0,0,0,12393.5778254925,1365,780,1872,4017,3.08528200783981
113,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
114,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
115,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
116,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
117,"Estándar",0.5,1,0,0,0,0,1,15948.3609744566,15948.3609744566,1365,780,1872,4017,3.97021682212015
118,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
119,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
120,"Estándar",0.5,1,0,0,0,0,1,20087.7416478235,20087.7416478235,1365,780,1872,4017,5.00068251128293
121,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
122,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
123,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
124,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
125,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
126,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
127,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
128,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
129,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
130,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
131,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
132,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
133,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
134,"Estándar",0.5,1,0,0,0,0,1,10875.6474701529,10875.6474701529,1365,780,1872,4017,2.70740539461112
135,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
136,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
137,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
138,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
139,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
140,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
141,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
142,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
143,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
144,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
145,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
146,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
147,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
148,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
149,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
150,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
151,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
152,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
153,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
154,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
155,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
156,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
157,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
158,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
159,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
160,"Alto riesgo",0.2,1.5,1,24966.1254805905,0,0,0,0,24966.1254805905,2047.5,1170,2808,6025.5,4.14341141491835
161,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
162,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
163,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
164,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
165,"Bajo riesgo",0.3,0.7,0,0,0,0,1,10440.1427736747,10440.1427736747,955.5,546,1310.4,2811.9,3.7128428371118
166,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
167,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
168,"Estándar",0.5,1,0,0,0,0,1,18779.9899761497,18779.9899761497,1365,780,1872,4017,4.67512819919086
169,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
170,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
171,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
172,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
173,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
174,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
175,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
176,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
177,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
178,"Estándar",0.5,1,0,0,0,0,1,21227.2540664684,21227.2540664684,1365,780,1872,4017,5.28435500783379
179,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
180,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
181,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
182,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
183,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
184,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
185,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
186,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
187,"Bajo riesgo",0.3,0.7,0,0,0,0,1,23006.4476510534,23006.4476510534,955.5,546,1310.4,2811.9,8.18181572995249
188,"Alto riesgo",0.2,1.5,1,49565.8672151491,0,0,0,0,49565.8672151491,2047.5,1170,2808,6025.5,8.22601729568485
189,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
190,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
191,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
192,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
193,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
194,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
195,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
196,"Alto riesgo",0.2,1.5,0,0,1,12618.26507086,0,0,12618.26507086,2047.5,1170,2808,6025.5,2.09414406619534
197,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
198,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
199,"Bajo riesgo",0.3,0.7,0,0,0,0,1,23213.4149490263,23213.4149490263,955.5,546,1310.4,2811.9,8.2554198047677
200,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
201,"Bajo riesgo",0.3,0.7,0,0,1,5022.16709259708,0,0,5022.16709259708,955.5,546,1310.4,2811.9,1.78604043266015
202,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
203,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
204,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
205,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
206,"Alto riesgo",0.2,1.5,0,0,1,15260.612999111,0,0,15260.612999111,2047.5,1170,2808,6025.5,2.53267164535905
207,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
208,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
209,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
210,"Bajo riesgo",0.3,0.7,0,0,1,18422.8941353616,0,0,18422.8941353616,955.5,546,1310.4,2811.9,6.55176006805421
211,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
212,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
213,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
214,"Alto riesgo",0.2,1.5,1,19365.5981830725,0,0,0,0,19365.5981830725,2047.5,1170,2808,6025.5,3.21394045026513
215,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
216,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
217,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
218,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
219,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
220,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
221,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
222,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
223,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
224,"Bajo riesgo",0.3,0.7,1,7504.4306181309,0,0,0,0,7504.4306181309,955.5,546,1310.4,2811.9,2.6688113439777
225,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
226,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
227,"Estándar",0.5,1,0,0,1,29579.2655639454,0,0,29579.2655639454,1365,780,1872,4017,7.36352142493039
228,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
229,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
230,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
231,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
232,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
233,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
234,"Alto riesgo",0.2,1.5,1,14076.5876627429,0,0,0,0,14076.5876627429,2047.5,1170,2808,6025.5,2.33616922458599
235,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
236,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
237,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
238,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
239,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
240,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
241,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
242,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
243,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
244,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
245,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
246,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
247,"Estándar",0.5,1,1,5458.85107708372,0,0,0,0,5458.85107708372,1365,780,1872,4017,1.35893728580625
248,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
249,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
250,"Bajo riesgo",0.3,0.7,1,23450.9432577972,0,0,0,0,23450.9432577972,955.5,546,1310.4,2811.9,8.33989233535942
251,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
252,"Alto riesgo",0.2,1.5,0,0,0,0,1,25774.0135489549,25774.0135489549,2047.5,1170,2808,6025.5,4.27748959405111
253,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
254,"Bajo riesgo",0.3,0.7,0,0,1,33028.5057864586,0,0,33028.5057864586,955.5,546,1310.4,2811.9,11.7459745319743
255,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
256,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
257,"Estándar",0.5,1,1,6969.01140561652,0,0,0,0,6969.01140561652,1365,780,1872,4017,1.73487961304867
258,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
259,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
260,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
261,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
262,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
263,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
264,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
265,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
266,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
267,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
268,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
269,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
270,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
271,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
272,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
273,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
274,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
275,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
276,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
277,"Estándar",0.5,1,0,0,0,0,1,16718.0753781673,16718.0753781673,1365,780,1872,4017,4.16183106252608
278,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
